Unnamed: 0,sender,recipients,date,title,subject
0,varja.lagos,varja.lagos,2014/1/6 10:28,patrol schedule changes,Greeting / Informal
0,varja.lagos,hennie.osvaldo,2014/1/6 10:28,patrol schedule changes,Greeting / Informal
0,varja.lagos,loreto.bodrogi,2014/1/6 10:28,patrol schedule changes,Greeting / Informal
0,varja.lagos,inga.ferro,2014/1/6 10:28,patrol schedule changes,Greeting / Informal
1,brand.tempestad,birgitta.frente,2014/1/6 10:35,wellhead flow rate data,Greeting / Informal
1,brand.tempestad,lars.azada,2014/1/6 10:35,wellhead flow rate data,Greeting / Informal
1,brand.tempestad,felix.balas,2014/1/6 10:35,wellhead flow rate data,Greeting / Informal
2,isak.baza,isak.baza,2014/1/6 10:43,re: gt-seismicprocessorpro bug report,Greeting / Informal
2,isak.baza,lucas.alcazar,2014/1/6 10:43,re: gt-seismicprocessorpro bug report,Greeting / Informal
3,lucas.alcazar,isak.baza,2014/1/6 10:50,re: gt-seismicprocessorpro bug report,Greeting / Informal
3,lucas.alcazar,lucas.alcazar,2014/1/6 10:50,re: gt-seismicprocessorpro bug report,Greeting / Informal
4,linnea.bergen,rachel.pantanal,2014/1/6 11:00,re: upcoming birthdays,Greeting / Informal
4,linnea.bergen,lars.azada,2014/1/6 11:00,re: upcoming birthdays,Greeting / Informal
4,linnea.bergen,felix.balas,2014/1/6 11:00,re: upcoming birthdays,Greeting / Informal
4,linnea.bergen,isande.borrasca,2014/1/6 11:00,re: upcoming birthdays,Greeting / Informal
4,linnea.bergen,axel.calzas,2014/1/6 11:00,re: upcoming birthdays,Greeting / Informal
4,linnea.bergen,gustav.cazar,2014/1/6 11:00,re: upcoming birthdays,Greeting / Informal
4,linnea.bergen,lidelse.dedos,2014/1/6 11:00,re: upcoming birthdays,Greeting / Informal
4,linnea.bergen,birgitta.frente,2014/1/6 11:00,re: upcoming birthdays,Greeting / Informal
4,linnea.bergen,vira.frente,2014/1/6 11:00,re: upcoming birthdays,Greeting / Informal
4,linnea.bergen,adra.nubarron,2014/1/6 11:00,re: upcoming birthdays,Greeting / Informal
4,linnea.bergen,marin.onda,2014/1/6 11:00,re: upcoming birthdays,Greeting / Informal
4,linnea.bergen,kare.orilla,2014/1/6 11:00,re: upcoming birthdays,Greeting / Informal
4,linnea.bergen,elsa.orilla,2014/1/6 11:00,re: upcoming birthdays,Greeting / Informal
