articleID,source,title,author,publish_date,location,content,sentiment,entities,entity_sentiment
121,All News Today,POK PROTESTS END IN ARRESTS,,2005-04-06,"ELODIS, Kronos","Fifteen members of the Protectors of Kronos (POK) activist organization were arrested by Kronos federal police yesterday following an dispute at the gates of the Tiskele Bend GAStech facility.  Swaying, the protesters sang well-known protest songs, including ""This is Our Land"", ""Songs of the Farmer"" and ""The Weavers of our Homeland""When the federal police began arresting the POK protesters, they moved in an orderly fashion into the waiting police van, singing the entire time.",0.0,pok,-0.9902728199958801
121,All News Today,POK PROTESTS END IN ARRESTS,,2005-04-06,"ELODIS, Kronos","Fifteen members of the Protectors of Kronos (POK) activist organization were arrested by Kronos federal police yesterday following an dispute at the gates of the Tiskele Bend GAStech facility.  Swaying, the protesters sang well-known protest songs, including ""This is Our Land"", ""Songs of the Farmer"" and ""The Weavers of our Homeland""When the federal police began arresting the POK protesters, they moved in an orderly fashion into the waiting police van, singing the entire time.",0.0,kronos,-0.9902728199958801
121,All News Today,POK PROTESTS END IN ARRESTS,,2005-04-06,"ELODIS, Kronos","Fifteen members of the Protectors of Kronos (POK) activist organization were arrested by Kronos federal police yesterday following an dispute at the gates of the Tiskele Bend GAStech facility.  Swaying, the protesters sang well-known protest songs, including ""This is Our Land"", ""Songs of the Farmer"" and ""The Weavers of our Homeland""When the federal police began arresting the POK protesters, they moved in an orderly fashion into the waiting police van, singing the entire time.",0.0,van,0.9960843324661255
135,All News Today,RALLY SCHEDULED IN SUPPORT OF INCREASED GOVERNMENT ACCOUNTABILITY,,2012-04-09,"ABILA, Kronos","Silvia Marek, leader of the Protectors of Kronos social action organization is appealing to the citizens of Kronos to join her for a day of peaceful protest tomorrow.  Marek asks all concerned citizens to join her to bring awareness to the problem of political corruption and favoritism pervasive in the offices of the government of Kronos.""I'm calling for an end to the heinous corruption, the nepotism and the favoritism displayed by our elected officials""",0.17666666666666667,silvia marek,0.9972116351127625
135,All News Today,RALLY SCHEDULED IN SUPPORT OF INCREASED GOVERNMENT ACCOUNTABILITY,,2012-04-09,"ABILA, Kronos","Silvia Marek, leader of the Protectors of Kronos social action organization is appealing to the citizens of Kronos to join her for a day of peaceful protest tomorrow.  Marek asks all concerned citizens to join her to bring awareness to the problem of political corruption and favoritism pervasive in the offices of the government of Kronos.""I'm calling for an end to the heinous corruption, the nepotism and the favoritism displayed by our elected officials""",0.17666666666666667,kronos,0.9972116351127625
152,All News Today,LACK OF DETAILS MARS GOVERNMENT INTENTIONS,,1993-02-02,"ABILA, Kronos","In a glitzy press conference late last year President Luis Araullo announced a historic set of tax incentives intended to bring foreign investment to Kronos under the guise creating jobs, providing cheap energy and building infrastructure.  Following the 86-14 vote last month the Minister of the Interior Tomas Sarto lauded the decision as ""landmark"" and ""bettering the people"".  The crafters of these revolutionary measures neglected to include a detailed plan about how this windfall would benefit everyday Kronosians.  When the first payment from these foreign company lands in the state coffers, how will these funds be dispersed?",0.02727272727272728,luis araullo,0.9825173020362854
152,All News Today,LACK OF DETAILS MARS GOVERNMENT INTENTIONS,,1993-02-02,"ABILA, Kronos","In a glitzy press conference late last year President Luis Araullo announced a historic set of tax incentives intended to bring foreign investment to Kronos under the guise creating jobs, providing cheap energy and building infrastructure.  Following the 86-14 vote last month the Minister of the Interior Tomas Sarto lauded the decision as ""landmark"" and ""bettering the people"".  The crafters of these revolutionary measures neglected to include a detailed plan about how this windfall would benefit everyday Kronosians.  When the first payment from these foreign company lands in the state coffers, how will these funds be dispersed?",0.02727272727272728,kronos,0.9825173020362854
152,All News Today,LACK OF DETAILS MARS GOVERNMENT INTENTIONS,,1993-02-02,"ABILA, Kronos","In a glitzy press conference late last year President Luis Araullo announced a historic set of tax incentives intended to bring foreign investment to Kronos under the guise creating jobs, providing cheap energy and building infrastructure.  Following the 86-14 vote last month the Minister of the Interior Tomas Sarto lauded the decision as ""landmark"" and ""bettering the people"".  The crafters of these revolutionary measures neglected to include a detailed plan about how this windfall would benefit everyday Kronosians.  When the first payment from these foreign company lands in the state coffers, how will these funds be dispersed?",0.02727272727272728,tomas sarto,0.9997076392173767
154,All News Today,"ELODIS, KRONOS:  A TOWN IN NEED, Part One",,1998-03-20,,"NOTE: This article is the first in a series, reprinted with permission from the Homeland Illumination.This article is the first installment of a three-part series addressing the growing problem of one community's anguish, government malfeasance, and the alarming influence of multinational corporations on the country of Kronos.LOCATION: ELODIS, KronosELODIS, Kronos - Nestled in the bend of the Tiskele River, the sun rises over the farming town of Elodis,  chasing away the shadows cloaking nearby Mt.  Today, as they have every day for over 250 years, residents will rise to tend the rich floodplain land that provides nourishment for the People of Kronos.Two weeks prior I received an email from an old friend, Pondo Reese, now the editor of the Elodis Weekly Journal, an agriculture paper serving the community around Tiskele Bend.  ""The gas company had been built a few years back in '94, and our problems didn't start right away.The change turned out to be GAStech International, an international corporation run by Sten Sanjorge Jr, a business tycoon out of Tethys.Established in 1961, the GAStech corporation began as a family-owned business providing local trucking services in Tethys.  The two founders - Sten Sanjorge Sr and Hank Fluss - found wildcat drilling to be more lucrative, and thus began a series of environmental disasters and financial scandals that eventually ran Sanjorge Sr into an early grave and drove Fluss into a marginal role in his own company.  With the death of Sanjorge Sr, the son took the helm of GAStech firmly in his grasp and broadened its influence further afield, eventually landing at the doorstep of the small peaceful township of Elodis.With a population of 6500, most residents of Elodis live in one- and two-story houses on small farms.  A smaller number of families live in the township along a main street with two markets, two hardware stores, one gas station and a cafe. Here you can buy lunch, pick up your mail and purchase a litre of milk to bring home.  Families have lived in Elodis for generations.""We've made a good living for a long time,"" Reese tells me.I asked Reese to help me meet the people whose lives have been impacted by GAStech's operations.I caught up with Henk Bodrogi in town making purchases at the Osvaldo hardware store to repair a broken tractor.  Bodrogi has farmed soybeans his entire life, as did his father and their fathers.",0.09667027417027417,kronos,0.7420216202735901
154,All News Today,"ELODIS, KRONOS:  A TOWN IN NEED, Part One",,1998-03-20,,"NOTE: This article is the first in a series, reprinted with permission from the Homeland Illumination.This article is the first installment of a three-part series addressing the growing problem of one community's anguish, government malfeasance, and the alarming influence of multinational corporations on the country of Kronos.LOCATION: ELODIS, KronosELODIS, Kronos - Nestled in the bend of the Tiskele River, the sun rises over the farming town of Elodis,  chasing away the shadows cloaking nearby Mt.  Today, as they have every day for over 250 years, residents will rise to tend the rich floodplain land that provides nourishment for the People of Kronos.Two weeks prior I received an email from an old friend, Pondo Reese, now the editor of the Elodis Weekly Journal, an agriculture paper serving the community around Tiskele Bend.  ""The gas company had been built a few years back in '94, and our problems didn't start right away.The change turned out to be GAStech International, an international corporation run by Sten Sanjorge Jr, a business tycoon out of Tethys.Established in 1961, the GAStech corporation began as a family-owned business providing local trucking services in Tethys.  The two founders - Sten Sanjorge Sr and Hank Fluss - found wildcat drilling to be more lucrative, and thus began a series of environmental disasters and financial scandals that eventually ran Sanjorge Sr into an early grave and drove Fluss into a marginal role in his own company.  With the death of Sanjorge Sr, the son took the helm of GAStech firmly in his grasp and broadened its influence further afield, eventually landing at the doorstep of the small peaceful township of Elodis.With a population of 6500, most residents of Elodis live in one- and two-story houses on small farms.  A smaller number of families live in the township along a main street with two markets, two hardware stores, one gas station and a cafe. Here you can buy lunch, pick up your mail and purchase a litre of milk to bring home.  Families have lived in Elodis for generations.""We've made a good living for a long time,"" Reese tells me.I asked Reese to help me meet the people whose lives have been impacted by GAStech's operations.I caught up with Henk Bodrogi in town making purchases at the Osvaldo hardware store to repair a broken tractor.  Bodrogi has farmed soybeans his entire life, as did his father and their fathers.",0.09667027417027417,pok,0.0
